,tweet_text,emotion,target,norm_tweet
2319,The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw,Negative emotion,1,ipad calendar frankeninterface design interface metaphor use
2320,"#SXSW #macallan A formula for a successful day at SXSW - good sessions, my iPad, and a glass of MacAllan single malt. {link}",Positive emotion,0,formula successful day sxsw good session ipad glass macallan single malt link
2322,@mention Can not wait for #iPad 2 also. They should sale them down at #SXSW.,Positive emotion,0,wait also sale
2326,"Music: Location, mobile recording, meet @mention - #ios and #android updates in time for #sxsw. {link}",Positive emotion,0,music location record meet updates time link
2340,#sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha,Negative emotion,1,quotno use windows voluntarilyquot quotapple great collection egomaniac historyquot haha
2341,"#sxsw #enchantment: @mention &quot;Sell your dream. Steve Jobs doesn't say: iPhone is $188 of parts+AT&amp;T, made by ppl in suicidal Chinese",Negative emotion,1,quotsell dream steve job doesnt say iphone partsatampt make ppl suicidal chinese
2345,@mention check it. RT @mention #SXSW FREE App Festival Explorer: find the bands you want to see from your music tastes {link},Positive emotion,0,check rt free app festival explorer find band want see music taste link
2346,@mention check out @mention awesome dj skills on the iPad while u are at #SXSW,Positive emotion,0,check awesome dj skill ipad u
2347,"@mention Check out 2011 South by Southwest Interactive iPhone/iPad Must-have Apps, sites and tools by @mention {link} #SXSW",Positive emotion,0,check south southwest interactive iphoneipad musthave apps site tool link
2350,@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,Positive emotion,0,check app launch keep updated party android link iphone app way
2351,"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",Positive emotion,0,check smyle web group share location medium whiteboarding thanks
2352,About to check out &quot;mistakes I made building Netflix for iPhone.&quot; this is going to be cool -you should always learn from mistakes. #sxsw,Positive emotion,0,check quotmistakes make build netflix iphonequot go cool always learn mistake
2353,@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,Positive emotion,0,check late stream apple store link come
2354,@mention Check the latest stream at Apple's store at #SXSW {link} . iPad2 wait for me  #PLAYSXSW,Positive emotion,0,check late stream apple store link wait
2356,"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Negative emotion,1,launch popup apple store quotvintagequot store format mostly ipods snarky employee ah good old day
2357,#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},Positive emotion,0,panel get great start video surui carbon project google link
2360,"Stupid technology! You always fail at important times! At #SXSW w/ an iPhone, laptop AND Blackberry and the only thing working is my pen.",Negative emotion,1,stupid technology always fail important time w iphone laptop blackberry thing work pen
2366,It's official: people using the iPad 2 to take photos just look weird. #SXSW,Negative emotion,1,official people use ipad take photo look weird
2367,It's official: We'll be presenting #Filmaster for #iPhone in the contest of world's best mobile apps at #SXSW !!! {link},Positive emotion,0,official well present contest world best mobile apps link
2369,It's official! I'm buying an iPad. #SXSW #elevate,Positive emotion,0,official im buying ipad
2374,Pretty excited about the Apple Pop Up Store coming to #SXSW {link},Positive emotion,0,pretty excited apple pop store come link
2375,Pretty excited for @mention iPad session #uxdes #sxsw,Positive emotion,0,pretty excited ipad session
2376,Pretty excited for my iPhone to stop working #sxsw #AT&amp;T,Negative emotion,1,pretty excited iphone stop work ampt
2379,We are excited to see HLS Dynamic Video Ad Insertion for TV Everywhere working on the #iPad2 later today at the #SXSW PopUp Apple Store,Positive emotion,0,excite see hls dynamic video ad insertion tv everywhere work later today popup apple store
2381,#iPad2 rocks #SXSW (@mention Apple POP UP Store) {link},Positive emotion,0,rock apple pop store link
2390,My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,Positive emotion,0,first computer kid atari kid first computer ipad able couldnt
2391,.crowdbeacon has put together a guide to #sxsw at {link} The latest update to their iPhone app is going to be sick.,Positive emotion,0,crowdbeacon put together guide link late update iphone app go sick
2392,"On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention Apple Store, SXSW) [pic]: {link}",Positive emotion,0,second day business apple popup store appear trend apple store sxsw pic link
2394,At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,Positive emotion,0,conf everyone mac ipad include happen pc become obsolete
2395,@mention congrats on the first iPad 2 at #sxsw,Positive emotion,0,congrats first ipad
2396,@mention Congrats on your iPhone app being featured at #SXSW!,Positive emotion,0,congrats iphone app feature
2397,@mention Congratulations on winning the Android award! :) #sxsw,Positive emotion,0,congratulation win android award
2398,"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",Positive emotion,0,congratulation send seesmic android phone
2402,Trying 2 convince @mention 2 watch the launch of google Social network at #SXSW . I didn't know there was going to be comedy?!,Negative emotion,1,try convince watch launch google social network didnt know go comedy
2403,"@mention Cool! That means we can watch Ustream in Skyfire browser on iPhone :-)
(Safari doesn't work) 
Have fun!  #sxsw",Positive emotion,0,cool mean watch ustream skyfire browser iphone safari doesnt work fun
2404,"Could be cool. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Positive emotion,0,cool rt google launch major new social network call circle possibly today link
2405,"Eating a coolhaus ice cream sandwich at the Google party. Hmmm, happy. #sxsw",Positive emotion,0,eat coolhaus ice cream sandwich google party hmmm happy
2406,I really could use one of those tiny MacBook Airs. Did I read that Apple set up a temporary store at SXSW? Where is it? #SXSW,Positive emotion,0,really use tiny macbook air read apple set temporary store sxsw
2410,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,Positive emotion,0,crew rip android party thanks droid link
2412,The data crunch at #SXSW is crippling Google Voice. Back to regular texting we go...,Negative emotion,1,data crunch cripple google voice back regular texting go
2413,new product idea: pants with a built in iphone charging dock built into the pocket! #sxsw,Positive emotion,0,new product idea pant build iphone charge dock build pocket
2414,"True,expect more insidious approaches, like Apple subscriptions. RT @mention {link} . Disgraceful.  #libraries #sxsw",Negative emotion,1,trueexpect insidious approach apple subscription rt link disgraceful
2421,"#bjdproductions Before It Even Begins, #Apple Wins #SXSW {link} #tech",Positive emotion,0,even begin win link
2423,{link} Security guard enjoying the iPad2 at the Apple Store in Austin... #sxsw,Positive emotion,0,link security guard enjoy apple store austin
2427,Unimitated - Fingerprint Security Scan - {link} #iTunes #ipad2 #1990style #SXSW,Positive emotion,0,unimitated fingerprint security scan link
2428,"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",Negative emotion,1,bldg app appstore need wholistic mktg awareness pr strategy drive adoption dont rely apple
2432,#tech iPad 2 Gets Temporary #Apple_Store for #SXSW {link},Positive emotion,0,ipad get temporary link
2433,"Also, iPad 2 ordered. Now I don't have to stand in line, wasting valuable fellowship time. #sxsw",Positive emotion,0,also ipad order dont stand line waste valuable fellowship time
2434,"Discovered a new conversation icebreaker: &quot;Hey, is that the new iPad 2? Why yes it is...&quot; #SXSW #social",Positive emotion,0,discover new conversation icebreaker quothey new ipad yes isquot
2435,I composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps. #twitterpower #sxsw #imthatgood,Negative emotion,1,compose tweet acerbic cynical ipad user phone crash dump apps
2437,Wish I had an iPad right now. Lasts longer than the phone and not as awkward as the laptop. #SXSW,Positive emotion,0,wish ipad right last long phone awkward laptop
2438,That could be dangerous RT @mention Sweet...Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Positive emotion,0,dangerous rt sweetapple listen apple store launch link
2440,This could be the first big news out of #sxsw... {link}  Google building new social framework.,Positive emotion,0,first big news link google build new social framework
2441,Google and Bing meet at #SXSW after their lovers tiff last month but it seems to have been disappointingly friendly {link},Negative emotion,1,google bing meet lover tiff last month seem disappointingly friendly link
2442,Google and Bing page rank panel is ridiculously crowded. Is Al Franken or Justin Timberlake here? #sxsw {link},Negative emotion,1,google bing page rank panel ridiculously crowd al franken justin timberlake link
2444,Unexpected bonus of waking up at 4am to make #SXSW flight: being up to order iPad 2 right as it's released,Positive emotion,0,unexpected bonus wake make flight order ipad right release
2447,Near Field Communication already here on android phones. #SXSW #bemyneighbor,Positive emotion,0,field communication already android phone
2449,Major iPad design flaw: the SXSW Go iPad app. It doesn't stay open when you switch apps! #ipaddesignheadaches #sxsw,Negative emotion,1,major ipad design flaw sxsw go ipad app doesnt stay open switch apps
2451,I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,Positive emotion,0,im head hear talk integrate social network dynamic team synergy ive get ipad ready go
2452,"When bored during a keynote #sxsw, use your iPad to draw a picture - even if you are not a good artist!  {link} #sxswi",Positive emotion,0,bored keynote use ipad draw picture even good artist link
2454,Your brand focus? RT @mention 'Trust of Zappos + Likability of Virgin + Product of Apple' - recipe for success @mention #SXSW,Positive emotion,0,brand focus rt trust zappos likability virgin product apple recipe success
2455,"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",Positive emotion,0,brand focus purpose object survive amp succeed google search useful info sneaker performance
2456,Unexpected geekout moment of #sxsw so far: talked with the guys who are bringing the Traveller RPG to the iPhone.,Positive emotion,0,unexpected geekout moment far talk guy bring traveller rpg iphone
2458,Only stood in line for 30 minutes to buy 2 iPads at the Apple pop-up store. #apple #sxsw #ipad #austin #fuckyeah,Positive emotion,0,stood line minute buy ipads apple popup store
2459,"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",Positive emotion,0,sam lick rt get ipad link cc
2463,"Just added my #SXSW flights to @mention Matching people on planes/airports. Also downloaded the @mention iPhone app, nicely done.",Positive emotion,0,added flight match people planesairports also download iphone app nicely do
2464,Just found out new mapquest iPhone app has turn-by-turn gps for free... Time to check it out and get reacquainted with mq #sxsw,Positive emotion,0,find new mapquest iphone app turnbyturn gps free time check get reacquaint mq
2465,You should probably put that away... RT @mention at the Android party and kinda embarrassed by my iPhone #SXSW,Negative emotion,1,probably put rt android party kinda embarrass iphone
2467,makes good sense RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,Positive emotion,0,make good sense rt apple set open popup shop core sxsw action link
2468,UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,Positive emotion,0,uber brand smart gon move ton open popup shop austin link
2469,#localmind sounds awesome.. location based Q&amp;A could be incredibly useful. {link} #iphone #sxsw,Positive emotion,0,sound awesome location base qampa incredibly useful link
2471,Just heard that Apple is opening a store in downtown Austin tomorrow to sell iPads to #SXSW attendees.,Positive emotion,0,heard apple open store downtown austin tomorrow sell ipads attendee
2478,Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),Positive emotion,0,interested hear different google buzz rt get ready word quotcirclesquot trend
2482,"So Annoyed with #SXSW schedule app that has bad #ui for iPad. My fingers ain't THAT fat, y'all.",Negative emotion,1,annoyed schedule bad ipad finger aint fat yall
2483,{link} Did you hear? AppleÛªs opening a temporary store just for #SXSW! (via @mention,Positive emotion,0,link hear apple open temporary store
2488,ballroom d: #marissagoogle talking about some cool projects (obv). love the Google Art Project. #sxsw,Positive emotion,0,ballroom talk cool project obv love google art project
2489,All packed! Charging the ipad for a busy day/weekend ahead. Also need to download the #SXSW apps for iphone/ipad!,Positive emotion,0,pack charge ipad busy dayweekend ahead also need download apps iphoneipad
2490,"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",Positive emotion,0,ipad find friend jeff thanks everyone help especially
2491,All Packed. A few too many #Apple devices. Alarm set for 5:15am. See ya'll at #SXSW. Psyched to meet (finally) many of you guys!,Positive emotion,0,pack many device alarm set see yall psyched meet finally many guy
2493,First ipad2 sighting at #SXSW interactive - infact everyone has at least 1 Apple product in use at all times,Positive emotion,0,first sight interactive infact everyone least apple product use time
2494,#want ipad2? Win it here: {link} #sxsw,Positive emotion,0,win link
2495,Download Daily Grape  - a new app from @mention for the iPhone.  You can take him with you to the wine shop. #sxsw,Positive emotion,0,download daily grape new app iphone take wine shop
2498,Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW,Positive emotion,0,cobra iradar detection system come android next month link
2502,"Exciting day at #sxsw to day. Now Tim Ferriss, and rumors about launch of Google Circles later...",Positive emotion,0,exciting day day tim ferriss rumor launch google circle later
2503,It's pie day at the google booth at #sxsw #mylunch,Positive emotion,0,pie day google booth
2506,The forbidden apple has been spoiled! Long live #samsung! They are rocking the #sxsw &amp; #sxswi's world.,Negative emotion,1,forbidden apple spoil long live rocking amp world
2510,I just made the decision: Id like to purchase an iPad.  It would be perfect for me at #SXSW.,Positive emotion,0,make decision id purchase ipad perfect
2512,"Getting ideas at #SXSW? Save them on your iPad using Action Lists. True to GTD, syncs w/ iPhone &amp; web.
{link}",Positive emotion,0,get idea save ipad use action list true gtd syncs w iphone amp weblink
2514,Have decided I need an ipad. #usguys #sxsw,Positive emotion,0,decide need ipad
2517,"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",Positive emotion,0,model rt quotapple come cool tech one ever hear cuz dont go conferencesquot
2518,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,Positive emotion,0,great ui demo link
2524,The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw it's more fun with the iPad2,Positive emotion,0,ipad design panel hilton salon j fill quickly surprise fun
2526,#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw,Positive emotion,0,dev meetup mostly ppl look devs good skill learn havent already
2539,is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw,Negative emotion,1,bit disappointed ipad talk many overlap example
2543,"So every DJ at #SXSW now spins with an iPad as part of their arsenal. The future is coming. No wait, it's here.",Positive emotion,0,dj spin ipad part arsenal future come wait
2546,hope u didn't jinx it. :) @mention Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Positive emotion,0,hope u didnt jinx nice iphone app behave today crash yesterday ridiculous
2548,Thank goodness they ran out of iPad 2s. Now I don't have to worry about giving in and just buying one at the popup Apple store. #SXSW,Positive emotion,0,thank goodness run ipad dont worry give buy popup apple store
2555,"Fest tip-don't be an iPhone douche.Put away your phone and talk to your fellow festgoers in lines, etc.All good people who love film. #sxsw",Negative emotion,1,fest tipdont iphone doucheput away phone talk festgoers line etcall good people love film
2559,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Positive emotion,0,counting day strong canadian dollar mean stock apple gear
2562,"Having a drink called an Alan Turing and making a Lego robot. Oh, Google :) #sxsw  @mention Speakeasy {link}",Positive emotion,0,drink call alan turing make lego robot google speakeasy link
2563,Apple is driving the &quot;consumerization&quot; of IT.  #empowered  #SXSW,Positive emotion,0,apple driving quotconsumerizationquot
2565,at the Android party and kinda embarrassed by my iPhone #SXSW,Negative emotion,1,android party kinda embarrass iphone
2566,Our friends at @mention finally &quot;put out&quot; for Android. Get their app &amp; get your disc on during #sxsw ^KH,Positive emotion,0,friend finally quotput android get app amp get disc kh
2572,That sounds...fantastic. RT @mention At the Google party...awesome. #SXSW,Positive emotion,0,soundsfantastic rt google partyawesome
2577,This schedule is heavier than my laptop. Where's my ipad already? #sxsw,Positive emotion,0,schedule heavy laptop wheres ipad already
2579,"Kinda giddy about #TheIndustryParty with #Google (&amp; more) at #GSDM. Finally, the fun comes to us non #SWSurrogates. #sxsw #notpouting",Positive emotion,0,kinda giddy amp finally fun come non
2580,Google body beta uber  #SXSW #health2dev #cool,Positive emotion,0,google body beta uber
2582,"Can anybody get the #SXSW mobile apps to work? I've downloaded Android, iPhone and BlackBerry and they all get stuck downloading on startup.",Negative emotion,1,anybody get mobile apps work ive download android iphone blackberry get stick downloading startup
2583,i'm already jealous // @mention Apple does a popup store just for #sxsw {link} #gonnagetanipad2,Positive emotion,0,im already jealous apple popup store link
2584,Can already tell i should have brought as ass pillow and iPhone backup charger to #sxsw #numbassonfloor,Positive emotion,0,already tell brought as pillow iphone backup charger
2589,Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link},Positive emotion,0,find playing app android get u link
2590,Off to see @mention in &quot;Left Brain Search = Google. Right Brain Search = X&quot; panel at #SXSW #BetterSearch,Positive emotion,0,see quotleft brain search google right brain search xquot panel
2591,Srsly love @mention @mention promo @mention Srsly hate that it excludes @mention Esp. since my iPad insists I'm at Disney #sxsw,Negative emotion,1,srsly love promo srsly hate excludes esp ipad insists im disney
2592,"The Google / ACLU party tonight at #sxsw is the best thing ever. (And apparently, the Spazmatics are a franchised band. But they rock.)",Positive emotion,0,google aclu party tonight best thing ever apparently spazmatics franchise band rock
2596,"Only white #ipad2 64gig wifi available at #Austin #SXSW #Apple popup store right now, but no wait!",Positive emotion,0,white wifi available popup store right wait
2598,"#dgtltribe #sxsw #openbeta6 iPad give-away, fantastic! now how are we going to squeeze that in...",Positive emotion,0,ipad giveaway fantastic go squeeze
2600,Loving the 80s music at aclu google party!!! #sxsw,Positive emotion,0,love music aclu google party
2601,sure to be a total scene! RT @mention Just spoke with the Austin Apple store. They are cautiously optimistic. #nerd #sxsw,Positive emotion,0,sure total scene rt speak austin apple store cautiously optimistic
2604,"Add google alerts to your project, and amazing things happen...#sxsw",Positive emotion,0,add google alert project amazing thing happen
2606,Looks like all the apps for #SXSW are for the #iPhone. What about the #blackberry? The blackberry??? {link} (rt @mention,Positive emotion,0,look apps blackberry link rt
2607,Even I use an iPhone now. RT @mention From evidence at #SxSW they might as well call this country the United States of Apple. #sxswsa,Positive emotion,0,even use iphone rt evidence well call country united state apple
2609,"Any Google Analytics and DFP experts at #SXSW? Would love some insight on managing DFP campaigns, ad management/measurement. DM me! #HISXSW",Positive emotion,0,google analytics dfp expert love insight manage dfp campaign ad managementmeasurement dm
2613,Liking the Apple pop-up store at Sixth Street and Congress Avenue @mention #SXSW,Positive emotion,0,like apple popup store sixth street congress avenue
2616,Fail Whale artist @mention living through the iPad 2 #sxsw {link},Positive emotion,0,fail whale artist live ipad link
2621,"Which line at #SXSW will be longer? 3/11 at the temp Apple store for the iPad2? Or 3/14 at the Microsoft booth for IE9? [Yeah, right!] :D",Positive emotion,0,line longer temp apple store microsoft yeah right
2622,Short line at the Apple pop up store in Austin. 50-60 people. #ipad2  #sxsw {link},Positive emotion,0,short line apple pop store austin people link
2623,Whoa! line at the pop up apple store in downtown austin. iPad midnight madness.  #sxsw  {link},Positive emotion,0,whoa line pop apple store downtown austin ipad midnight madness link
2625,New Iphone autocorrect already tried to change &quot;coworkers&quot; to &quot;visigoths.&quot; Its going to be a long five days of #sxsw,Negative emotion,1,new iphone autocorrect already tried change quotcoworkersquot quotvisigothsquot go long day
2629,The iPhone battery was not made for @mention #sxsw,Negative emotion,1,iphone battery make
2632,One of the best photo apps for the iPhone ÛÓ Hipstamatic ÛÓ is getting ...  #apps #sxsw #hipstamatic {link},Positive emotion,0,best photo apps iphone hipstamatic get link
2637,Smart move by Apple opening popup store for #iPad2 launch in downtown Austin during #SXSW. {link},Positive emotion,0,smart move apple open popup store launch downtown austin link
2640,Sweet! The convore iPhone app is ready for #sxsw : {link},Positive emotion,0,sweet convore iphone app ready link
2641,"Guy on the couch playing with his white iPad 2 while MashBash parties around him is making a statement, dammit. #sxsw",Positive emotion,0,guy couch play white ipad mashbash party make statement dammit
2642,Yes! apple design wins again! RT @mention The new iSack is SOO Cool! #sxsw  {link},Positive emotion,0,yes apple design win rt new isack soo cool link
2646,This Apple Fanboy just bought an iPad 2 - sweeeet! At #SXSW special Apple pop-up store,Positive emotion,0,apple fanboy buy ipad sweeeet special apple popup store
2647,"Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Positive emotion,0,hey apple fan get peek space thats slat popup apple store tomorrow link
2648,New circle game? RT @mention  @mention Google (tries again) to launch new social network called Circles: {link} #sxsw,Negative emotion,1,new circle game rt google try launch new social network call circle link
2653,"If you are going to be on foot at #SXSW, don't forget to stop by the newest Apple store in Austin: {link}",Positive emotion,0,go foot dont forget stop new apple store austin link
2657,"Got in the Google party not before being interviewed by Twit TV, finally ran into @mention #sxsw",Positive emotion,0,get google party interview twit tv finally run
2658,I'm at the google party. @mention Rocks! #sxsw,Positive emotion,0,im google party rock
2659,Here's the guy who bought the first #iPad2 at the #SXSW popup store (hope he registers for his Thoora beta!) {link},Positive emotion,0,here guy buy first popup store hope register thoora beta link
2661,"With XWave headsets, we can actually control iPhone apps with our brain!? #SxSWNUI #gsdm #sxsw",Positive emotion,0,xwave headset actually control iphone apps brain
2662,"Man, these hipsters are getting crazy at the Google party #SXSW  {link}",Positive emotion,0,man hipster get crazy google party link
2664,What Apple hopes you didn't notice about iPad 2 {link} #sxsw #sxswi #technology #mobile #prodmktg,Negative emotion,1,apple hop didnt notice ipad link
2670,I would be interested to hear recomds RT @mention recommends using google voice to separate work from life #evolvingworkplace #sxsw,Positive emotion,0,interested hear recomds rt recommend use google voice separate work life
2673,Win a free ipad 2 from webdoc.com #sxsw RT (awesome tech right here),Positive emotion,0,win free ipad webdoccom rt awesome tech right
2674,"Inside the iPad 2: chip brings 50% browsing boost: RT @mention Best Hungry at #sxsw Tip: Mekong River, g... {link}",Positive emotion,0,ipad chip bring browse boost rt best hungry tip mekong river g link
2675,OMG...free iPad 2s in Salon H! One am! #SXSW!,Positive emotion,0,omgfree ipad salon h
2676,"Would love ipad2 and to be at #sxsw RT @mention After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2",Positive emotion,0,love rt get food dont forget snap photo win macbook air ipad
2677,"the future is about networks, not just data. that's why google may not win long term #SXSW #web3 #SaatchiNY",Negative emotion,1,future network data thats google win long term
2679,"Then there is hope I too may someday keynote SWSX! RT @mention Bored during keynote #sxsw, but have an iPad  {link}",Positive emotion,0,hope someday keynote swsx rt bore keynote ipad link
2680,The volume is overwhelming but the market will self-police. That's why users picked Google over Bing.  #curatedebate #SXSW,Positive emotion,0,volume overwhelm market selfpolice thats user pick google bing
2684,Why are we leaning on web conventions like small buttons on the iPad? #UXDes #sxsw,Negative emotion,1,lean web convention small button ipad
2687,The Google map app saves my life on a regular basis RT @mention maps has 150 million users. 40% of users are mobile #sxsw,Positive emotion,0,google map app save life regular basis rt map user user mobile
2689,"one of the most in-your-face ex. of stealing the show in yrs RT @mention &quot;At #SXSW, Apple schools the mkt experts&quot;  {link}",Positive emotion,0,inyourface ex steal show yrs rt quotat apple school mkt expertsquot link
2691,loving the new iphone #app suggestions coming from @mention #SXSW,Positive emotion,0,love new iphone suggestion come
2692,OMG. Table next to us is passing around the iPad 2. #hipstermuch #SXSW,Positive emotion,0,omg table next pass ipad
2697,tim get me one!  RT @mention Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,Positive emotion,0,tim get rt apple employee show force popup apple store
2701,The Google party line starts behind me. Ha! The Germ has put her towel down early... #sxsw,Positive emotion,0,google party line start ha germ put early
2704,WOW! Apple pop up store downtown #Austin projecting 1/4 million+ profits this weekend alone! They may stay past this weekend #SXSW,Positive emotion,0,wow apple pop store downtown project profit weekend alone stay weekend
2705,OMG. Apple pop-up retail at #sxsw? Please let them have a full palette of iPad2's and a truck parked out back,Positive emotion,0,omg apple popup retail please let full palette truck park
2706,Use Google profile or FB as  entry point? FB too personal? Try Digg or Google Reader to draw people in. #hireme #sxsw,Positive emotion,0,use google profile fb entry point fb personal try digg google reader draw people
2707,#SXSW hire qualified and talented women consciously early on in #startups to achieve success - Google did!,Positive emotion,0,hire qualify talented woman consciously early achieve success google
2709,if you are ready to take your tech geekdom to a whole new level at #sxsw you will need the Twitter or Google hi-tops {link},Positive emotion,0,ready take tech geekdom whole new level need twitter google hitops link
2710,"wow, apple really thought about it and #SXSW - {link}",Positive emotion,0,wow apple really think link
2711,LOL 2 true RT @mention It's official: people using the iPad 2 to take photos just look weird. #SXSW,Negative emotion,1,lol true rt official people use ipad take photo look weird
2712,YES PLEASE RT@mention At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mentionR,Positive emotion,0,yes please rt want win ipad get case
2715,Did anyone see/visit  the temporary Apple Store at #SXSW ?,Positive emotion,0,anyone seevisit temporary apple store
2717,"Ah, a nice simple idea. RT @mention Hello, Holler Gram! Get to know @mention new iPad app {link} #hollergram #sxsw",Positive emotion,0,ah nice simple idea rt hello holler gram get know new ipad app link
2719,Trying the Steve Wozniak drink free thanks to Google #H4ckers #SXSW   @mention Speakeasy {link},Positive emotion,0,try steve wozniak drink free thanks google speakeasy link
2722,Temp Apple store is killing it in Austin. Selling out early EVERY day. #sxsw,Positive emotion,0,temp apple store kill austin sell early day
2723,The #apple store popped up at #sxsw with a huge crowd waiting for the geek dreams to come true.  {link},Positive emotion,0,store pop huge crowd wait geek dream come true link
2725,#sxsw live stream not working on iPad #fail {link},Negative emotion,1,live stream work ipad link
2726,SXSW Apple Survival Kit - IÛªm taking more apple stuff with me to #sxsw than I am clothes {link},Positive emotion,0,sxsw apple survival kit im take apple stuff clothes link
2727,Hmm... the sxsw.com/interactive/live stream isn't ipad/mobile compatible. Maybe next year. #sxsw,Negative emotion,1,hmm sxswcominteractivelive stream isnt ipadmobile compatible maybe next year
2730,Third time the charm?&gt;&gt;&gt; #Google to launch new social network at #SXSW? - CNET News {link},Positive emotion,0,third time charmgtgtgt launch new social network cnet news link
2731,Yay!  Love the iPad 2!  Perfectly portable for all of the travel we've been doing!  Thanks #sxsw pop-up store!,Positive emotion,0,yay love ipad perfectly portable travel weve thanks popup store
2734,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @mention via @mention =&gt;{link},Positive emotion,0,get ta love google calendar feature top party show case check rt gtlink
2735,Looks like this was a fun session at #SXSW: &quot;Mistakes Made Building Nextflix for iPhone&quot;: {link},Positive emotion,0,look fun session quotmistakes make build nextflix iphonequot link
2737,"I may have to hide all #SXSW tweets. I think the Apple pop-up store was the final straw. Yes, I'm jealous.",Positive emotion,0,hide tweet think apple popup store final straw yes im jealous
2738,Would like to know which LBS app I downloaded has commandeered my iPhone's geolocation setting &amp; won't relinquish. #batterykiller #SXSW,Negative emotion,1,like know lbs app download commandeered iphones geolocation set amp wont relinquish
2743,The Google Tv to IPad App: the connected tv experience talk was super rad! #sxsw #sxsw11,Positive emotion,0,google tv ipad app connect tv experience talk rad
2745,Great! See u there  RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,Positive emotion,0,great see u rt ill austin convention center today w fam show new iphone game
2746,"Foursquare ups the game, just in time for #SXSW {link} - Still prefer @mention by far, best looking Android app to date.",Positive emotion,0,foursquare ups game time link still prefer far best look android app date
2747,All iphone users kill yo self if u hated on ubertwitter New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW,Positive emotion,0,iphone user kill yo u hat ubertwitter new app store include uberguide
2753,I love the waves!!!!!! {link} iPad Webber #japan #sxsw,Positive emotion,0,love wave link ipad webber
2755,Just spoke with google about how they are using semantic tech to make searching user reviews better #sxsw #cmswire #web30,Positive emotion,0,spoke google use semantic tech make search user review well
2756,traded the Xoom I won at the JS party for the iPad 2 @mention won #sxsw #winwin #winning #tigerblood,Positive emotion,0,trade xoom j party ipad
2760,"Dear Apple, could you roll a hot dog cart full of iPad 2's down to the Austin Convention center. (And bring hot dogs?) #sxsw",Positive emotion,0,dear apple roll hot dog cart full ipad austin convention center bring hot dog
